date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:56	25159/25159	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:52%20GMT	https://www.wiselythemes.com/html/neela/js/jquery-ui.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/jquery-ui.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:47:57	11226/11226	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:52%20GMT	https://www.wiselythemes.com/html/neela/js/jquery-migrate-3.3.2.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/jquery-migrate-3.3.2.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:47:58	3293/3293	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:56%20GMT	https://www.wiselythemes.com/html/neela/js/jquery.placeholder.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/jquery.placeholder.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:47:58	78754/78754	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:52%20GMT	https://www.wiselythemes.com/html/neela/js/bootstrap.bundle.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/bootstrap.bundle.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:47:59	2072/2072	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:54%20GMT	https://www.wiselythemes.com/html/neela/js/ismobile.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/ismobile.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:00	2011/2011	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:56%20GMT	https://www.wiselythemes.com/html/neela/js/retina.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/retina.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:01	9036/9036	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:54%20GMT	https://www.wiselythemes.com/html/neela/js/waypoints.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/waypoints.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:02	1249/1249	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:52%20GMT	https://www.wiselythemes.com/html/neela/js/waypoints-sticky.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/waypoints-sticky.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:03	44348/44348	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:54%20GMT	https://www.wiselythemes.com/html/neela/js/owl.carousel.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/owl.carousel.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:04	9497/9497	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:52%20GMT	https://www.wiselythemes.com/html/neela/js/lightbox.min.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/lightbox.min.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:06	60140/60140	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:56%20GMT	https://www.wiselythemes.com/html/neela/js/jquery.nicescroll.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/jquery.nicescroll.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:06	4145/4145	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:54%20GMT	https://www.wiselythemes.com/html/neela/js/variables.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/variables.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:07	870/870	---MC-	200	added ('OK')	text/javascript	date:Sat,%2002%20Nov%202024%2012:48:04%20GMT	https://www.google.com/recaptcha/api.js	D:/1.%20Personal/Wedding/html%20template/www.google.com/recaptcha/api.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
19:48:07	18562/18562	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Apr%202023%2016:37:50%20GMT	https://www.wiselythemes.com/html/neela/js/scripts.js	D:/1.%20Personal/Wedding/html%20template/www.wiselythemes.com/html/neela/js/scripts.js	(from https://www.wiselythemes.com/html/neela/index-onepage-video.html)
